,Population
3014,B-cells
3018,Other_cells
3023,T-cells
3027,Monocytes
3033,T-cells
3042,Monocytes
3058,T-cells
3071,T-cells
3081,T-cells
3084,T-cells
3086,B-cells
3091,T-cells
3104,T-cells
3106,Monocytes
3123,B-cells
3137,B-cells
3139,T-cells
3150,T-cells
3162,T-cells
3168,B-cells
3174,B-cells
3184,B-cells
3186,T-cells
3200,Other_cells
3202,B-cells
3208,Monocytes
3210,T-cells
3225,B-cells
3231,T-cells
3232,T-cells
3248,T-cells
3253,T-cells
3254,Monocytes
3259,B-cells
3266,T-cells
3270,T-cells
3313,B-cells
3314,B-cells
3318,T-cells
3319,T-cells
3320,T-cells
3327,T-cells
3335,T-cells
3338,T-cells
3347,T-cells
3356,T-cells
3361,T-cells
3362,T-cells
3369,T-cells
3371,T-cells
3377,T-cells
3378,Other_cells
3386,B-cells
3392,Monocytes
3402,B-cells
3408,B-cells
3413,B-cells
3416,T-cells
3440,T-cells
3444,T-cells
3452,T-cells
3454,T-cells
3457,T-cells
3465,T-cells
3473,B-cells
3474,T-cells
3478,T-cells
3491,T-cells
3504,T-cells
3511,T-cells
3531,T-cells
3533,T-cells
3543,Other_cells
3551,T-cells
3554,T-cells
3557,B-cells
3564,T-cells
3565,Other_cells
3566,B-cells
3569,B-cells
3594,B-cells
3608,T-cells
3635,T-cells
3636,B-cells
3640,T-cells
3660,B-cells
3667,T-cells
3681,T-cells
3683,B-cells
3688,B-cells
3695,T-cells
3709,T-cells
3713,T-cells
3716,Other_cells
3733,T-cells
3734,T-cells
3735,T-cells
3739,T-cells
3741,B-cells
3746,T-cells
3748,Monocytes
3759,Other_cells
3761,T-cells
3768,T-cells
3771,B-cells
3779,T-cells
3784,T-cells
3786,T-cells
3791,Other_cells
3794,Monocytes
3810,T-cells
3811,T-cells
3827,T-cells
3835,T-cells
3838,T-cells
3846,Other_cells
3854,T-cells
3856,T-cells
3866,Monocytes
3878,Monocytes
3894,T-cells
3919,Monocytes
3938,B-cells
3944,T-cells
3945,B-cells
3961,T-cells
3966,Other_cells
3968,T-cells
3978,B-cells
3984,T-cells
3986,T-cells
3994,T-cells
3995,B-cells
3996,B-cells
4000,T-cells
4009,T-cells
4012,B-cells
4017,T-cells
4020,T-cells
4022,T-cells
4023,B-cells
4024,T-cells
4031,T-cells
4034,Monocytes
4035,Other_cells
4041,T-cells
4046,T-cells
4049,Other_cells
4072,T-cells
4075,Monocytes
4080,T-cells
4088,B-cells
4092,Other_cells
4113,Monocytes
4114,B-cells
4118,B-cells
4122,T-cells
4137,B-cells
4138,T-cells
4150,T-cells
4151,Monocytes
4153,T-cells
4157,T-cells
4162,Other_cells
4167,T-cells
4169,T-cells
4177,Monocytes
4180,Other_cells
4188,T-cells
4189,T-cells
4195,Monocytes
4201,T-cells
4221,Monocytes
4231,B-cells
4240,T-cells
4264,B-cells
4267,B-cells
4274,T-cells
4275,Monocytes
4290,T-cells
4291,Other_cells
4295,Other_cells
4300,T-cells
4301,T-cells
4316,Monocytes
4324,B-cells
4325,T-cells
4340,T-cells
4341,B-cells
4348,T-cells
4350,T-cells
4353,Other_cells
4357,T-cells
4360,T-cells
4371,T-cells
4391,T-cells
4392,B-cells
4393,Monocytes
4394,B-cells
4398,B-cells
4409,Other_cells
4436,T-cells
4438,B-cells
4451,T-cells
4453,T-cells
4462,B-cells
4465,Other_cells
4468,B-cells
4478,T-cells
4491,T-cells
4492,T-cells
4493,T-cells
4496,Monocytes
4498,B-cells
4511,T-cells
4517,T-cells
4518,T-cells
4531,T-cells
4535,T-cells
4549,Other_cells
4551,T-cells
4553,Monocytes
4554,B-cells
4571,T-cells
4576,T-cells
4577,T-cells
4580,Other_cells
4585,Monocytes
4588,B-cells
4589,B-cells
4615,T-cells
4634,T-cells
4636,T-cells
4645,Other_cells
4649,T-cells
4650,T-cells
4660,B-cells
4666,B-cells
4672,Monocytes
4681,T-cells
4682,Monocytes
4684,T-cells
4693,B-cells
4697,T-cells
4717,T-cells
4725,T-cells
4738,Monocytes
4746,Monocytes
4785,Other_cells
4814,T-cells
4816,T-cells
4818,Other_cells
4825,B-cells
4832,B-cells
4843,B-cells
4853,Monocytes
4854,T-cells
4855,B-cells
4867,B-cells
4876,T-cells
4879,T-cells
4880,B-cells
4891,T-cells
4910,B-cells
4931,T-cells
4938,Other_cells
4952,Other_cells
4960,T-cells
4968,T-cells
4974,B-cells
4977,T-cells
4982,T-cells
4984,T-cells
4988,T-cells
4992,Other_cells
4997,T-cells
4999,T-cells
5004,Monocytes
5026,B-cells
5033,T-cells
5036,T-cells
5047,T-cells
5048,T-cells
5050,T-cells
5055,T-cells
5062,Monocytes
5068,T-cells
5074,T-cells
5087,T-cells
5088,T-cells
5094,T-cells
5095,T-cells
5116,Other_cells
5120,B-cells
5123,T-cells
5128,B-cells
5137,T-cells
5140,B-cells
5146,T-cells
5148,T-cells
5164,B-cells
5169,B-cells
5179,T-cells
5186,Monocytes
5189,T-cells
5193,Other_cells
5198,Monocytes
5203,Monocytes
5206,T-cells
5208,T-cells
5210,T-cells
5212,T-cells
5219,Monocytes
5238,T-cells
5259,T-cells
5266,B-cells
5269,T-cells
5289,B-cells
5295,B-cells
5302,T-cells
5307,Other_cells
5323,T-cells
5336,Monocytes
5337,B-cells
5340,B-cells
5343,T-cells
5348,T-cells
5349,T-cells
5358,Other_cells
5359,Monocytes
5361,T-cells
5363,T-cells
5365,Other_cells
5373,B-cells
5380,B-cells
5383,T-cells
5384,T-cells
5392,T-cells
5400,Monocytes
5403,T-cells
5404,Monocytes
5416,Monocytes
5423,T-cells
5431,T-cells
5453,B-cells
5455,T-cells
5459,T-cells
5468,T-cells
5475,B-cells
5506,T-cells
5512,T-cells
5514,B-cells
5521,T-cells
5528,T-cells
5529,T-cells
5530,T-cells
5551,T-cells
5559,B-cells
5565,Other_cells
5568,T-cells
5574,B-cells
5580,Monocytes
5601,Monocytes
5603,Monocytes
5607,T-cells
5616,T-cells
5617,T-cells
5622,Monocytes
5626,T-cells
5629,T-cells
5633,T-cells
5645,B-cells
5654,B-cells
5666,T-cells
5668,Monocytes
5672,B-cells
5675,Monocytes
5678,T-cells
5691,T-cells
5698,T-cells
5707,Monocytes
5714,T-cells
5717,T-cells
5720,B-cells
5723,T-cells
5726,Other_cells
5733,B-cells
5759,B-cells
5763,B-cells
5764,B-cells
5783,T-cells
5795,T-cells
5812,T-cells
5816,T-cells
5819,T-cells
5821,B-cells
5822,T-cells
5823,T-cells
5824,Monocytes
5837,B-cells
5853,T-cells
5863,B-cells
5890,B-cells
5893,T-cells
5894,B-cells
5897,Monocytes
5909,Other_cells
5922,T-cells
5927,B-cells
5928,Other_cells
5932,T-cells
5936,Monocytes
5937,T-cells
5942,Other_cells
5952,T-cells
5957,Monocytes
5967,T-cells
5969,B-cells
5973,T-cells
5975,T-cells
5986,Monocytes
5999,Other_cells
6001,T-cells
6010,T-cells
6015,B-cells
6017,Other_cells
6028,T-cells
6042,T-cells
6048,T-cells
6063,T-cells
6084,T-cells
6087,Monocytes
6097,T-cells
6102,B-cells
6104,T-cells
6126,T-cells
6129,T-cells
6131,Other_cells
6137,Monocytes
6139,T-cells
6141,T-cells
6146,T-cells
6151,T-cells
6154,T-cells
6160,T-cells
6164,T-cells
6205,T-cells
6219,T-cells
6221,B-cells
6222,T-cells
6230,B-cells
6237,T-cells
6240,T-cells
6262,B-cells
6272,Monocytes
6279,T-cells
6302,Other_cells
6306,T-cells
6316,T-cells
6317,T-cells
6318,Monocytes
6320,T-cells
6326,B-cells
6327,T-cells
6332,T-cells
6348,Monocytes
6358,T-cells
6362,B-cells
6367,B-cells
6372,T-cells
6377,T-cells
6385,Other_cells
6389,T-cells
6398,T-cells
6414,T-cells
6419,T-cells
6421,T-cells
6433,T-cells
6435,T-cells
6446,Monocytes
6450,T-cells
6453,T-cells
6459,T-cells
6466,T-cells
6486,T-cells
6488,T-cells
6509,B-cells
6513,T-cells
6521,Monocytes
6523,T-cells
6563,Monocytes
6570,T-cells
6576,T-cells
6579,T-cells
6581,T-cells
6591,T-cells
6603,Other_cells
6606,T-cells
6608,Monocytes
6612,T-cells
6614,B-cells
6616,T-cells
6623,T-cells
6629,Monocytes
6648,B-cells
6655,B-cells
6661,T-cells
6662,B-cells
6680,T-cells
6689,T-cells
6704,T-cells
6707,B-cells
6718,B-cells
6736,T-cells
6737,T-cells
6738,T-cells
6741,T-cells
6743,T-cells
6751,Other_cells
6762,T-cells
6764,Monocytes
6771,Monocytes
6799,Monocytes
6824,B-cells
6835,T-cells
6840,Other_cells
6841,B-cells
6850,T-cells
6851,B-cells
6853,T-cells
6861,B-cells
6865,T-cells
6867,T-cells
6891,T-cells
6895,B-cells
6900,T-cells
6923,B-cells
6937,B-cells
6953,T-cells
6954,T-cells
6961,T-cells
6968,T-cells
6971,B-cells
6975,T-cells
6989,T-cells
6992,T-cells
6997,T-cells
6999,T-cells
7004,T-cells
7006,T-cells
7015,T-cells
7016,T-cells
7017,T-cells
7021,B-cells
7031,T-cells
7055,Monocytes
7059,T-cells
7064,B-cells
7069,T-cells
7071,T-cells
7072,T-cells
7113,B-cells
7114,T-cells
7119,T-cells
7125,T-cells
7131,T-cells
7141,Monocytes
7147,T-cells
7152,T-cells
7159,T-cells
7177,B-cells
7181,Other_cells
7182,T-cells
7195,Monocytes
7206,T-cells
7213,T-cells
7220,T-cells
7227,T-cells
7231,T-cells
7273,T-cells
7290,B-cells
7307,Other_cells
7308,T-cells
7309,T-cells
7322,B-cells
7329,T-cells
7331,T-cells
7334,B-cells
7338,Other_cells
7343,T-cells
7349,Monocytes
7354,T-cells
7366,T-cells
7372,T-cells
7373,T-cells
7379,T-cells
7389,T-cells
7395,T-cells
7396,T-cells
7430,T-cells
7434,Monocytes
7439,Other_cells
7443,T-cells
7452,Monocytes
7454,T-cells
7458,T-cells
7467,T-cells
7469,B-cells
7478,T-cells
7480,Monocytes
7488,T-cells
7511,Monocytes
7515,Other_cells
7541,Other_cells
7542,B-cells
7550,T-cells
7555,Other_cells
7574,Other_cells
7604,T-cells
7613,T-cells
7614,B-cells
7615,B-cells
7617,T-cells
7619,Other_cells
7622,Monocytes
7623,Monocytes
7625,B-cells
7632,B-cells
7633,T-cells
7637,Other_cells
7641,T-cells
7660,T-cells
7668,B-cells
7671,Other_cells
7675,T-cells
7684,T-cells
7700,T-cells
7711,T-cells
7749,T-cells
7755,T-cells
7759,Other_cells
7762,Monocytes
7768,B-cells
7771,Monocytes
7777,Other_cells
7781,T-cells
7792,T-cells
7803,Monocytes
7811,T-cells
7817,T-cells
7819,T-cells
7820,B-cells
7834,T-cells
7840,T-cells
7845,T-cells
7848,T-cells
7859,T-cells
7863,Other_cells
7869,Other_cells
7879,T-cells
7898,T-cells
7904,T-cells
7905,B-cells
7918,T-cells
7929,T-cells
7931,B-cells
7935,Monocytes
7950,T-cells
7951,T-cells
7956,T-cells
7964,T-cells
7966,Other_cells
7968,B-cells
7973,T-cells
7980,T-cells
7998,T-cells
8011,T-cells
8018,T-cells
8021,T-cells
8045,T-cells
8047,Monocytes
8051,T-cells
8060,T-cells
8075,Other_cells
8082,T-cells
8085,B-cells
8094,B-cells
8106,T-cells
8127,B-cells
8139,T-cells
8141,B-cells
8147,B-cells
8148,T-cells
8152,B-cells
8161,Monocytes
8164,T-cells
8165,Other_cells
8176,T-cells
8186,T-cells
8187,T-cells
8201,B-cells
8202,B-cells
8204,T-cells
8206,T-cells
8223,T-cells
8224,B-cells
8229,T-cells
8232,T-cells
8238,T-cells
8244,T-cells
8256,T-cells
8281,B-cells
8285,T-cells
8294,T-cells
8299,T-cells
8303,T-cells
8317,Monocytes
8328,B-cells
8336,B-cells
8338,T-cells
8342,Monocytes
8359,T-cells
8361,Monocytes
8368,Other_cells
8372,Monocytes
8373,T-cells
8380,T-cells
8385,T-cells
8392,B-cells
8396,T-cells
8398,Other_cells
8403,T-cells
8407,T-cells
8414,T-cells
8422,B-cells
8426,T-cells
8433,Monocytes
8447,T-cells
8448,T-cells
8449,T-cells
8453,T-cells
8462,T-cells
8474,Monocytes
8488,B-cells
8499,T-cells
8506,B-cells
8511,Monocytes
8533,Other_cells
8536,T-cells
8553,T-cells
8578,T-cells
8582,T-cells
8592,T-cells
8606,Monocytes
8611,T-cells
8626,B-cells
8633,T-cells
8654,T-cells
8655,T-cells
8657,Other_cells
8667,Monocytes
8677,T-cells
8684,T-cells
8728,T-cells
8735,T-cells
8736,B-cells
8738,T-cells
8739,T-cells
8754,T-cells
8757,T-cells
8766,T-cells
8775,T-cells
8781,Other_cells
8782,T-cells
8789,T-cells
8794,Other_cells
8809,T-cells
8813,T-cells
8815,T-cells
8816,B-cells
8823,Other_cells
8836,Other_cells
8837,T-cells
8840,T-cells
8843,T-cells
8863,Other_cells
8891,T-cells
8893,T-cells
8897,T-cells
8905,T-cells
8907,Monocytes
8911,Monocytes
8913,Monocytes
8916,T-cells
8921,T-cells
8924,T-cells
8937,B-cells
8951,B-cells
8956,Monocytes
8962,T-cells
8966,Monocytes
8968,T-cells
8969,B-cells
8982,T-cells
8993,T-cells
8996,T-cells
9003,T-cells
9004,T-cells
9022,T-cells
9032,T-cells
9048,B-cells
9057,T-cells
9058,T-cells
9082,B-cells
9148,T-cells
9159,T-cells
9160,B-cells
9161,T-cells
9163,T-cells
9167,T-cells
9168,Other_cells
9170,T-cells
9176,T-cells
9188,B-cells
9190,T-cells
9203,T-cells
9204,T-cells
9225,B-cells
9231,Monocytes
9232,T-cells
9234,Other_cells
9235,T-cells
9237,T-cells
9241,T-cells
9250,T-cells
9251,T-cells
9269,T-cells
9273,B-cells
9297,T-cells
9308,T-cells
9313,Other_cells
9321,T-cells
9335,T-cells
9345,T-cells
9351,Other_cells
9353,T-cells
9369,T-cells
9374,T-cells
9379,T-cells
9409,Monocytes
9423,Other_cells
9428,T-cells
9432,T-cells
9462,T-cells
9463,B-cells
9476,T-cells
9477,B-cells
9487,Other_cells
9508,Monocytes
9513,B-cells
9516,T-cells
9518,T-cells
9519,T-cells
9527,T-cells
9535,T-cells
9537,B-cells
9545,B-cells
9546,T-cells
9550,B-cells
9551,Monocytes
9567,T-cells
9589,T-cells
9590,Other_cells
9609,T-cells
9613,B-cells
9617,B-cells
9623,T-cells
9627,Other_cells
9628,T-cells
9656,T-cells
9668,T-cells
9673,T-cells
9678,T-cells
9690,T-cells
9692,T-cells
9693,B-cells
9695,T-cells
9697,Other_cells
9698,T-cells
9722,T-cells
9724,T-cells
9731,T-cells
9735,T-cells
9740,B-cells
9741,T-cells
9750,Other_cells
9752,T-cells
9755,T-cells
9762,T-cells
9763,Other_cells
9772,Monocytes
9777,T-cells
9798,B-cells
9799,T-cells
9800,T-cells
9812,T-cells
9816,Monocytes
9824,B-cells
9827,T-cells
9833,T-cells
9840,T-cells
9845,T-cells
9846,T-cells
9866,B-cells
9876,Other_cells
9882,T-cells
9884,Monocytes
9897,T-cells
9899,T-cells
9905,B-cells
9908,B-cells
9911,T-cells
9941,T-cells
9953,Other_cells
9966,T-cells
9974,T-cells
9975,T-cells
9988,T-cells
9995,T-cells
9998,B-cells
10010,T-cells
10015,T-cells
10016,Monocytes
10018,T-cells
10023,T-cells
10027,T-cells
10030,T-cells
10031,T-cells
10034,B-cells
10056,T-cells
10060,T-cells
10062,T-cells
10065,T-cells
10067,T-cells
10074,T-cells
10078,Other_cells
10095,Other_cells
10102,B-cells
10104,B-cells
10105,B-cells
10108,T-cells
10109,T-cells
10133,T-cells
10136,B-cells
10147,Monocytes
10163,T-cells
10172,B-cells
10175,T-cells
10177,T-cells
10180,B-cells
10182,T-cells
10183,B-cells
10191,T-cells
10199,Other_cells
10211,Monocytes
10212,Monocytes
10221,T-cells
10233,B-cells
10252,Monocytes
10280,T-cells
10284,T-cells
10286,Monocytes
10343,T-cells
10344,B-cells
10361,B-cells
10362,B-cells
10364,B-cells
10367,T-cells
10372,T-cells
10403,B-cells
10409,Monocytes
10419,T-cells
10431,Monocytes
10435,T-cells
10437,T-cells
10439,T-cells
10450,B-cells
10453,B-cells
10462,Monocytes
10463,T-cells
10468,B-cells
10472,T-cells
10478,T-cells
10483,B-cells
10487,Monocytes
10502,B-cells
10503,T-cells
10519,T-cells
10521,T-cells
10524,T-cells
10525,T-cells
10537,T-cells
10572,Other_cells
10576,T-cells
10578,T-cells
10579,T-cells
10582,B-cells
10585,B-cells
10600,T-cells
10605,B-cells
10617,T-cells
10621,T-cells
10624,T-cells
10644,T-cells
10650,Monocytes
10668,T-cells
10669,T-cells
10677,T-cells
10696,T-cells
10697,T-cells
10719,T-cells
10728,T-cells
10735,Monocytes
10738,T-cells
10747,T-cells
10756,T-cells
10761,T-cells
10764,Monocytes
10765,T-cells
10770,T-cells
10773,Monocytes
10778,B-cells
10797,T-cells
10800,T-cells
10804,T-cells
10807,B-cells
10825,T-cells
10837,T-cells
10847,T-cells
10857,T-cells
10864,B-cells
10874,B-cells
10876,T-cells
10885,Monocytes
10920,B-cells
10921,T-cells
10923,T-cells
10924,Other_cells
10929,T-cells
10930,T-cells
10959,T-cells
10961,B-cells
10963,B-cells
10964,T-cells
10967,B-cells
10968,T-cells
10983,T-cells
10989,T-cells
10993,B-cells
10999,T-cells
11000,T-cells
11019,T-cells
11026,T-cells
11038,B-cells
11041,T-cells
11060,B-cells
11062,B-cells
11090,T-cells
11094,B-cells
11099,T-cells
11111,T-cells
11113,B-cells
11119,Other_cells
11124,B-cells
11125,Monocytes
11140,B-cells
11143,Other_cells
11148,T-cells
11149,B-cells
11156,T-cells
11162,Monocytes
11163,B-cells
11164,Monocytes
11174,T-cells
11192,T-cells
11201,T-cells
11206,T-cells
11216,Monocytes
11219,T-cells
11228,T-cells
11246,Monocytes
11261,T-cells
11268,T-cells
11271,T-cells
11295,T-cells
11297,B-cells
11306,T-cells
11307,B-cells
11315,T-cells
11316,T-cells
11328,T-cells
11349,Other_cells
11351,Other_cells
11367,T-cells
11377,T-cells
11387,T-cells
11391,T-cells
11392,T-cells
11407,T-cells
11411,T-cells
11412,T-cells
11416,T-cells
11425,Monocytes
11440,T-cells
11445,T-cells
11447,Monocytes
11457,T-cells
11467,Other_cells
11471,T-cells
11486,T-cells
11487,T-cells
11503,T-cells
11510,T-cells
11512,T-cells
11517,T-cells
11520,B-cells
11544,B-cells
11552,T-cells
11564,B-cells
11566,B-cells
11569,Other_cells
11586,T-cells
11588,T-cells
11592,T-cells
11596,T-cells
11598,T-cells
11611,T-cells
11622,T-cells
11633,Other_cells
11639,Monocytes
11641,B-cells
11647,T-cells
11651,T-cells
11655,T-cells
11656,T-cells
11659,T-cells
11661,T-cells
11666,Monocytes
11674,B-cells
11694,T-cells
11695,T-cells
11697,T-cells
11699,T-cells
11700,B-cells
11702,T-cells
11736,Other_cells
11741,T-cells
11743,B-cells
11751,T-cells
11754,T-cells
11755,T-cells
11762,Monocytes
11771,T-cells
11775,T-cells
11776,Monocytes
11784,T-cells
11789,Other_cells
11792,T-cells
11805,T-cells
11812,T-cells
11827,T-cells
11842,T-cells
11858,B-cells
11861,T-cells
11866,Other_cells
11870,Monocytes
11873,B-cells
11880,T-cells
11886,T-cells
11889,T-cells
11891,Monocytes
11894,T-cells
11901,T-cells
11918,T-cells
11964,Other_cells
11967,T-cells
11970,T-cells
11974,T-cells
11976,B-cells
11985,B-cells
11986,T-cells
11987,T-cells
12002,T-cells
12003,B-cells
12008,T-cells
12009,T-cells
12010,B-cells
12020,T-cells
12026,B-cells
12027,T-cells
12028,T-cells
12032,Monocytes
12042,T-cells
12047,T-cells
12053,T-cells
12061,T-cells
12062,Other_cells
12064,Monocytes
12065,T-cells
12066,T-cells
12069,T-cells
12074,T-cells
12079,Other_cells
12080,B-cells
12084,B-cells
12091,B-cells
12107,T-cells
12113,B-cells
12122,T-cells
12125,T-cells
12130,T-cells
12138,T-cells
12139,T-cells
12146,Other_cells
12161,T-cells
12174,B-cells
12180,T-cells
12186,T-cells
12191,T-cells
12214,T-cells
12235,B-cells
12237,T-cells
12242,B-cells
12256,T-cells
12260,B-cells
12275,T-cells
12286,T-cells
12300,Monocytes
12302,T-cells
12315,B-cells
12316,B-cells
12320,T-cells
12329,Monocytes
12338,T-cells
12343,T-cells
12346,B-cells
12353,T-cells
12356,T-cells
12357,T-cells
12382,T-cells
12383,T-cells
12386,T-cells
12399,T-cells
12401,T-cells
12402,T-cells
12403,Other_cells
12417,B-cells
12421,Other_cells
12455,T-cells
12457,T-cells
12463,B-cells
12469,T-cells
12470,T-cells
12479,T-cells
12483,T-cells
12514,T-cells
12517,Monocytes
12522,Monocytes
12525,Other_cells
12528,T-cells
12533,T-cells
12541,T-cells
12555,T-cells
12556,T-cells
12559,Monocytes
12565,T-cells
12584,T-cells
12595,T-cells
12597,T-cells
12600,T-cells
12611,T-cells
12612,T-cells
12615,T-cells
12617,T-cells
12621,T-cells
12622,B-cells
12629,T-cells
12641,B-cells
12644,Other_cells
12649,T-cells
